location_id,city,country
6881501,Wilsonport,Malaysia
6289581,Port Michelleborough,Ghana
10714383,New Lori,Palestinian Territory
3433235,Lake Josephstad,Belgium
8521354,Whiteland,Northern Mariana Islands
12261053,Ashleemouth,Malawi
9145035,Greenstad,Isle of Man
14912569,Martinhaven,Germany
10771246,Hamiltonburgh,Ghana
6201432,North Samantha,Germany
3914567,Jeffreyborough,Rwanda
6316280,Robertburgh,Cook Islands
4503133,Paulville,Northern Mariana Islands
988598,Natashashire,Hungary
13558397,East Sheila,Malawi
16359616,Port Karenport,Australia
4577874,Robertborough,Barbados
10662877,Dennisside,Argentina
15740449,Salazarside,Uruguay
761733,Jonesshire,Palestinian Territory
6737123,Nelsonborough,Norfolk Island
12218053,Kennethview,Hungary
11516331,Rogersland,Saint Barthelemy
1924335,North Megan,Netherlands Antilles
13360047,Port Jeremiahtown,Guatemala
8350983,Lake David,Isle of Man
2477905,South Benjaminfort,Andorra
2722173,Jessicaland,Malawi
4834305,West Jessica,Bolivia
14373909,North Jennifer,Guinea-Bissau
13505454,North Sarah,Andorra
12089938,Michaelmouth,Isle of Man
11856354,Navarroburgh,Hong Kong
13287860,North Normanchester,Hong Kong
5971754,Seanchester,Bulgaria
10372663,North Joshua,Malta
12198144,Mcleanfort,Malawi
3443480,Port Sarah,Kazakhstan
269853,North Alicia,Malaysia
5790646,Wattsmouth,Argentina
6635506,Reyesmouth,Hungary
12780207,West Lauraland,Ukraine
12162874,New Zacharyton,Australia
4103853,Lake Pamelaton,Saint Barthelemy
1918738,Lake Dennis,Australia
14184661,Allisonmouth,Bolivia
3741751,Christophershire,Northern Mariana Islands
8405004,Danielview,Gibraltar
2022657,North Dylan,Norfolk Island
10533876,New Courtneyburgh,Belgium
