supplier_id,location_id,supplier_name,city
5,5,Budget,South Christopher
2,20,Avis,Jamesville
2,9,Avis,Weaverstad
3,15,Avis,Danielbury
5,14,Budget,West Sarah
1,18,Hertz,Garciafort
1,18,Avis,East Christine
2,1,Avis,Nicholaston
4,10,Sixt,Markfort
2,13,Enterprise,Wardburgh
3,11,Enterprise,Port Brianfurt
5,22,Budget,South Amandatown
2,19,Enterprise,Vargasstad
5,13,Hertz,Brownland
2,2,Hertz,Port Dianeland
1,20,Avis,Jenkinstown
2,12,Hertz,Lopezport
1,17,Avis,Port David
3,9,Enterprise,Greentown
2,3,Budget,Port Jacob
2,1,Hertz,North Samanthaton
4,2,Sixt,Lopezton
2,16,Hertz,Lake Brettchester
2,3,Hertz,Lake Darrenbury
3,9,Hertz,New Michelle
4,23,Budget,Chambersberg
5,5,Hertz,West Elizabethmouth
2,22,Enterprise,New Jenniferborough
3,10,Enterprise,South Victorland
5,17,Budget,South Christopher
2,5,Hertz,Ramoshaven
2,21,Budget,South Thomas
2,17,Avis,East Jamesstad
2,2,Avis,Michaelview
3,16,Enterprise,Josephchester
3,17,Enterprise,North Julia
3,2,Budget,Mckeefort
3,23,Enterprise,East Thomasview
1,6,Budget,South Benjamin
3,1,Enterprise,North Nicoleland
5,21,Budget,Jonathanhaven
3,3,Avis,South Jameschester
5,20,Avis,Reginatown
3,22,Enterprise,Lake Mark
3,7,Enterprise,Fergusonborough
3,6,Enterprise,West Daniel
5,8,Avis,South Jenniferside
4,13,Sixt,Keithbury
5,8,Hertz,East Travis
3,13,Enterprise,Tylerchester
4,15,Avis,South Chelsea
3,3,Enterprise,South Katelyn
3,19,Avis,North Shawn
1,23,Enterprise,Cookburgh
2,13,Enterprise,Vaughnland
3,21,Enterprise,Patrickbury
1,6,Avis,East Robert
4,13,Sixt,Hollowayville
3,22,Enterprise,South Sarahview
2,5,Avis,Garciafurt
4,7,Sixt,South Charles
2,5,Hertz,East Kevinmouth
5,9,Hertz,New John
1,18,Enterprise,Roweside
3,19,Enterprise,North Shellymouth
5,8,Avis,Katherineborough
3,18,Enterprise,North Valerie
2,11,Enterprise,Nicoletown
4,6,Budget,Batesside
5,3,Budget,South Jessicaside
3,10,Enterprise,East Charles
2,11,Budget,Castanedahaven
1,9,Budget,North Danielmouth
5,7,Avis,North Kari
5,9,Budget,Lake Jasonmouth
2,1,Hertz,Castillomouth
1,13,Enterprise,New Christopherside
1,18,Budget,New Philipville
3,24,Enterprise,Pierceburgh
1,4,Enterprise,East Michelleland
2,8,Avis,South Jamesview
2,21,Budget,Stephanieshire
1,24,Hertz,North Henry
3,15,Enterprise,Wongchester
5,11,Budget,South Isaacburgh
3,8,Enterprise,Torresside
1,2,Avis,East Brianshire
5,12,Sixt,Arthurborough
4,10,Budget,Barbarabury
2,24,Enterprise,Morrisberg
3,23,Enterprise,Davidville
1,23,Budget,Olsonberg
