booking_id,search_id,user_id,supplier_id,location_id,car_class,pickup_date,search_ts,booking_ts,booking_delay_hours,days_until_pickup,search_price,booked_price,competitor_price,price_rank,user_segment
3939798,34538,9505687,5,22,compact,2024-04-11 23:25:10,2024-07-15 06:29:15,2024-11-11 12:04:53.730369,115.35918028442545,3.1518846712925725,66.63,260.37,85.61,1,frequent_renter
12140855,36079,10209823,5,2,suv,2024-10-27 04:29:59,2024-04-13 22:05:05,2024-10-24 01:07:33.069180,5.714582900052097,7.726584691276103,47.67,121.14,162.81,1,frequent_renter
3230426,10774,4249763,5,12,economy,2024-01-26 08:15:02,2024-02-24 13:31:28,2024-02-01 03:38:47.345899,0.07973152837191377,6.0011958990256575,34.65,34.65,49.7,1,frequent_renter
8225925,55927,5267170,2,17,compact,2024-01-16 14:10:05,2024-01-02 10:52:00,2024-01-26 16:50:42.876799,141.72363112206367,13.252232137466892,42.24,121.52,59.79,1,multi_trip
16193849,33014,6932608,4,17,compact,2024-02-17 20:01:57,2024-02-19 06:04:37,2024-05-25 09:05:36.926012,142.2914680266,7.582733664222869,57.47,223.71,99.52,1,multi_trip
2647319,25709,13467369,1,12,suv,2024-03-22 11:42:43,2024-10-09 13:58:52,2024-05-28 01:11:35.179711,18.535028465192983,5.575833714168213,133.82,251.65,74.13,1,multi_trip
11303653,3006,2181256,5,3,economy,2024-07-13 11:15:46,2024-07-19 07:05:03,2024-04-12 18:57:29.471828,33.06583876791138,14.736073032607434,34.65,34.65,48.54,1,single_trip
2071734,2214,10319738,3,5,economy,2024-05-19 05:57:04,2024-01-02 10:52:00,2024-01-02 11:10:14.743943,5.899415146233184,16.819380736154663,64.57,71.28,58.08,1,single_trip
2506876,55715,5572312,5,11,suv,2024-07-16 14:43:25,2024-09-29 01:23:25,2024-11-01 13:38:48.503404,6.035819779004781,7.738390388851825,150.66,146.35,218.64,1,frequent_renter
5291341,55817,15418126,5,15,suv,2024-05-28 05:35:02,2024-02-14 18:38:03,2024-07-22 00:15:48.582183,0.000405265302965,20.32100380216525,94.12,137.26,269.13,1,single_trip
14657118,29942,15701546,5,4,compact,2024-07-27 17:45:32,2024-03-02 03:43:04,2024-07-27 08:56:29.415766,7.070475753241885,9.103947200267639,58.89,133.05,62.96,1,frequent_renter
469150,17470,15587223,3,8,luxury,2024-05-11 07:48:03,2024-05-05 07:07:30,2024-02-07 14:42:06.396437,7.548021919001053,7.69296078385571,179.39,149.97,73.9,1,single_trip
1798159,37701,3477973,4,7,economy,2024-01-05 02:00:00,2024-01-02 10:52:00,2024-05-17 16:38:54.044455,8.483546892527848,4.791822595612605,53.51,47.23,62.68,1,multi_trip
10994327,14030,3954773,5,11,luxury,2024-08-02 02:33:09,2024-06-19 07:57:46,2024-01-02 11:10:14.743943,0.10680792326012145,14.56485566308269,61.74,286.32,173.02,1,multi_trip
6306080,54394,16083093,4,21,luxury,2024-09-10 21:38:19,2024-09-03 03:51:21,2024-08-16 06:23:43.029038,34.162503743389465,26.43785496206014,84.33,71.15,153.95,1,frequent_renter
6052524,26694,13230034,5,24,compact,2024-06-10 21:55:50,2024-11-25 17:34:47,2024-06-24 15:33:26.606703,417.8000875288598,15.723270338357738,210.93,67.21,100.5,1,frequent_renter
6491499,45234,9275248,5,24,economy,2024-03-16 12:47:48,2024-12-27 10:18:00,2024-08-14 08:42:22.048557,128.64179684445563,1.6220084996980964,53.66,35.73,46.3,1,multi_trip
3880995,24480,11254053,5,1,economy,2024-07-11 16:06:20,2024-02-10 12:54:00,2024-02-04 03:42:12.903796,24.829105771661204,1.0055555555555555,34.65,35.51,36.03,1,single_trip
9562313,42979,10587565,5,8,economy,2024-04-29 07:28:58,2024-08-20 00:26:57,2024-02-03 21:48:07.833174,31.82291339027877,1.0055555555555555,102.59,80.23,127.73,1,multi_trip
3629508,22071,2101442,2,8,compact,2024-12-21 15:49:02,2024-11-27 10:05:15,2024-06-24 17:43:02.696474,5.767494512150331,7.731604594319641,41.81,68.4,49.47,1,single_trip
10834793,8333,10152175,5,5,luxury,2024-01-05 02:00:00,2024-01-31 15:52:09,2024-02-24 12:13:56.057556,179.9806867557607,5.132783879830237,65.91,80.75,107.58,1,multi_trip
10144626,35447,12261525,3,23,economy,2024-01-09 16:37:43,2024-01-14 07:33:06,2024-02-29 09:42:43.553309,24.2302237141311,40.4875,189.54,60.96,65.44,1,multi_trip
12444496,14366,8451015,5,4,compact,2024-08-14 21:52:28,2024-02-19 03:30:36,2024-02-22 06:15:21.694908,2.5880609098319254,8.237747575550852,34.65,58.6,85.11,1,frequent_renter
2565380,35382,986286,4,9,compact,2024-01-05 02:00:00,2024-10-03 21:56:50,2024-07-09 13:09:11.562136,22.00702861913744,1.0055555555555555,69.24,49.83,68.14,1,multi_trip
2090208,51761,9567789,5,6,economy,2024-01-23 16:32:48,2024-12-27 10:18:00,2024-01-29 05:23:41.329380,30.85656108437173,24.054318601725253,36.65,40.26,57.31,1,multi_trip
9711639,21966,7013741,3,15,compact,2024-03-13 00:27:51,2024-05-26 13:35:21,2024-11-30 15:24:31.348786,4.116967639957578,12.038711386546154,47.34,71.58,71.74,1,single_trip
6874127,16253,1138167,1,4,suv,2024-04-29 02:05:23,2024-12-16 01:46:57,2024-07-24 05:46:22.198240,32.573459377179155,5.679228739109727,98.02,103.02,127.07,1,multi_trip
12565542,52705,3437145,5,23,compact,2024-06-10 18:53:51,2024-12-02 11:29:38,2024-10-10 21:42:23.236746,0.000405265302965,5.843584050336071,34.65,41.56,55.18,1,single_trip
8910924,16690,5726015,2,14,economy,2024-06-09 20:44:48,2024-12-27 10:18:00,2024-08-30 10:41:10.559308,8.051707335527983,4.378292428581798,57.13,60.46,62.4,1,multi_trip
3360420,47279,1461260,1,7,suv,2024-03-13 23:53:12,2024-02-21 20:00:00,2024-08-14 14:31:24.532706,25.08208375829064,5.520353317593303,96.53,188.28,99.48,1,multi_trip
16067991,10960,4075589,4,16,compact,2024-08-22 04:17:44,2024-10-29 12:57:28,2024-07-15 08:27:55.506278,27.77326490034286,7.790456457724494,73.62,66.06,104.27,1,frequent_renter
14230662,4977,15106662,4,7,suv,2024-05-13 22:58:08,2024-03-07 16:22:28,2024-10-26 13:56:08.405320,10.81063915200834,12.615711720608033,59.89,89.56,32.36,1,frequent_renter
15773046,9426,3750447,3,9,luxury,2024-01-05 02:00:00,2024-06-27 07:38:34,2024-01-02 11:10:14.743943,62.4654471568375,8.163553525173281,204.55,157.62,41.52,1,multi_trip
14594601,14820,959109,5,4,compact,2024-03-31 09:13:21,2024-12-27 10:18:00,2025-01-06 13:00:21.733732,248.65514242111502,33.17227201725989,51.81,47.29,59.66,1,frequent_renter
11055945,7126,3373072,4,6,economy,2024-01-05 02:00:00,2024-02-29 23:38:00,2024-05-03 16:00:01.757784,126.14049327599605,1.0055555555555555,61.92,57.69,40.96,1,multi_trip
6028938,9065,15711563,2,10,suv,2024-06-25 23:50:23,2024-09-01 03:59:56,2024-10-01 03:45:57.940294,238.64813833466204,2.946067976799968,210.59,169.1,111.57,1,single_trip
3370747,22879,5168262,2,18,suv,2024-06-19 08:25:49,2024-03-01 23:03:11,2024-06-10 05:40:36.385600,16.48923726236998,6.802507934750317,278.48,257.38,255.66,1,frequent_renter
10788080,15599,8898927,3,9,luxury,2024-05-31 01:40:09,2024-11-09 21:17:08,2024-11-20 05:58:31.430790,8.720807164382956,4.350663745354294,288.95,222.79,187.26,1,multi_trip
3621831,54690,3707987,3,12,economy,2024-01-14 16:30:21,2024-09-11 20:03:29,2024-07-12 03:08:43.836850,23.080687579307618,3.2796769922869085,34.65,44.96,41.95,1,multi_trip
13085473,12750,9158290,5,24,suv,2024-02-26 15:53:11,2024-05-14 02:56:58,2024-09-24 23:17:12.245224,33.138777203614765,1.0366404007803993,82.01,46.28,59.11,1,multi_trip
3187414,10771,9616124,4,1,luxury,2024-08-25 15:44:08,2024-12-22 13:17:44,2024-10-18 12:11:44.358106,201.84365446769215,7.367474048471982,62.1,79.25,144.47,1,frequent_renter
6814922,54796,2803714,5,13,economy,2024-01-13 13:48:11,2024-11-21 02:35:14,2024-11-16 11:29:33.384731,24.026641078782056,2.837300611277705,47.11,55.78,93.44,1,frequent_renter
878803,47043,1602403,5,1,luxury,2024-09-14 03:04:19,2024-12-15 22:44:16,2025-01-06 13:00:21.733732,38.40782385137244,6.9814470133634305,46.19,45.91,77.5,1,frequent_renter
4917979,40754,13912991,5,4,economy,2024-01-05 02:00:00,2024-01-02 10:52:00,2024-09-13 16:04:18.022616,0.000405265302965,1.0055555555555555,78.84,103.12,76.33,1,frequent_renter
