booking_id,search_id,user_id,supplier_id,location_id,car_class,pickup_date,search_ts,booking_ts,booking_delay_hours,days_until_pickup,search_price,booked_price,competitor_price,price_rank,user_segment
1,981,19604,4,1,luxury,2024-01-07 00:00:00,2024-01-02 10:52:00,2024-01-02 11:10:14.743944,0.30409553997330485,4.5472222222222225,162.86,162.86,162.86,1,multi_trip
2,1010,16923,2,12,luxury,2024-01-11 03:00:00,2024-01-02 15:08:00,2024-01-02 15:18:42.738602,0.1785385004354349,8.494444444444444,163.01,163.01,163.01,1,single_trip
3,1020,19731,5,23,compact,2024-01-05 02:00:00,2024-01-02 17:35:00,2024-01-02 18:02:24.496391,0.4568045530998213,2.3506944444444446,59.47,59.47,59.47,1,multi_trip
4,1027,19974,4,2,luxury,2024-01-13 20:00:00,2024-01-02 18:14:00,2024-01-03 09:37:31.975138,15.392215316107052,11.073611111111111,117.39,117.39,117.39,1,frequent_renter
5,1090,19834,2,10,economy,2024-01-06 14:00:00,2024-01-03 09:39:00,2024-01-03 10:01:43.756449,0.37882123570440634,3.18125,49.65,49.65,49.65,1,frequent_renter
6,1154,19747,5,1,economy,2024-01-08 19:00:00,2024-01-03 17:16:00,2024-01-03 17:18:16.010950,0.03778081950445101,5.072222222222222,57.02,57.02,57.02,1,multi_trip
7,1203,19931,5,4,compact,2024-01-14 05:00:00,2024-01-03 21:50:00,2024-01-03 22:29:23.502128,0.656528368989567,10.29861111111111,40.19,40.19,40.19,1,frequent_renter
8,1087,19772,4,5,suv,2024-01-09 22:00:00,2024-01-03 09:13:00,2024-01-03 23:19:17.938648,14.104982957768483,6.532638888888889,100.33,100.33,100.33,1,multi_trip
9,1214,19919,5,13,economy,2024-01-15 03:00:00,2024-01-03 23:39:00,2024-01-03 23:51:01.578678,0.2004385217031938,11.139583333333333,46.55,46.55,46.55,1,frequent_renter
10,1213,19919,3,2,compact,2024-01-20 06:00:00,2024-01-03 23:32:00,2024-01-03 23:51:17.939102,0.32164975053649686,16.269444444444446,60.71,60.71,60.71,1,frequent_renter
11,1222,19098,1,18,economy,2024-01-19 16:00:00,2024-01-04 07:04:00,2024-01-04 13:07:32.507088,6.059029746699904,15.372222222222222,56.08,56.08,56.08,1,multi_trip
12,1201,19931,1,15,economy,2024-01-19 08:00:00,2024-01-03 21:42:00,2024-01-04 15:55:43.711469,18.22880874137889,15.429166666666667,48.25,48.25,48.25,1,frequent_renter
13,1275,18979,5,2,suv,2024-02-05 00:00:00,2024-01-04 16:00:00,2024-01-04 16:04:29.311310,0.07480869730476779,31.333333333333332,64.17,64.17,64.17,1,multi_trip
14,1280,17310,1,18,economy,2024-01-19 16:00:00,2024-01-04 17:07:00,2024-01-04 17:38:31.448411,0.5254023363483844,14.953472222222222,56.08,56.08,56.08,1,single_trip
15,1121,17338,5,1,economy,2024-01-08 19:00:00,2024-01-03 14:12:00,2024-01-04 19:17:30.096837,29.091693565783512,5.2,57.02,57.02,57.02,1,single_trip
