comp_id,location_id,car_class,pickup_date,obs_date,comp_min_price,days_until_pickup
1,13,compact,2024-01-31,2024-01-01,55.54,30
2,8,compact,2024-01-07,2024-01-03,52.67,4
3,14,luxury,2024-01-20,2024-01-03,85.5,17
4,13,compact,2024-01-26,2024-01-03,52.04,23
5,14,compact,2024-01-27,2024-01-03,38.83,24
6,23,suv,2024-01-19,2024-01-03,65.06,16
7,23,suv,2024-01-24,2024-01-04,63.87,20
8,21,compact,2024-01-20,2024-01-04,44.79,16
9,9,economy,2024-01-28,2024-01-05,45.42,23
10,7,suv,2024-01-26,2024-01-06,54.07,20
11,12,suv,2024-01-17,2024-01-06,78.54,11
12,12,economy,2024-01-28,2024-01-06,35.33,22
13,13,compact,2024-01-29,2024-01-07,58.05,22
14,4,suv,2024-01-25,2024-01-09,66.0,16
15,20,compact,2024-02-09,2024-01-09,44.64,31
16,19,compact,2024-02-05,2024-01-09,45.96,27
17,19,economy,2024-01-26,2024-01-10,37.72,16
18,20,compact,2024-02-04,2024-01-10,43.1,25
19,5,economy,2024-01-21,2024-01-12,41.27,9
20,8,luxury,2024-02-02,2024-01-13,108.39,20
21,4,luxury,2024-02-04,2024-01-13,104.6,22
22,18,compact,2024-02-09,2024-01-14,43.97,26
23,14,economy,2024-01-18,2024-01-15,53.28,3
24,11,luxury,2024-01-19,2024-01-16,119.83,3
25,19,suv,2024-01-20,2024-01-18,71.49,2
26,10,economy,2024-02-03,2024-01-18,32.36,16
27,19,economy,2024-02-08,2024-01-21,43.15,18
28,6,luxury,2024-01-27,2024-01-21,108.06,6
29,14,economy,2024-02-06,2024-01-23,45.89,14
30,4,compact,2024-02-14,2024-01-23,70.31,22
31,9,suv,2024-02-05,2024-01-23,86.4,13
32,3,economy,2024-02-14,2024-01-23,55.56,22
33,20,economy,2024-02-08,2024-01-24,45.97,15
34,2,luxury,2024-02-05,2024-01-24,120.23,12
35,22,suv,2024-02-12,2024-01-26,79.53,17
36,12,luxury,2024-02-23,2024-01-27,116.73,27
37,5,compact,2024-02-02,2024-01-28,70.52,5
38,20,luxury,2024-02-05,2024-02-01,147.15,4
39,8,suv,2024-02-11,2024-02-02,63.99,9
40,15,economy,2024-02-14,2024-02-02,51.08,12
41,14,compact,2024-02-22,2024-02-03,46.47,19
42,3,compact,2024-02-12,2024-02-03,54.86,9
43,1,suv,2024-02-14,2024-02-03,118.45,11
44,13,suv,2024-02-20,2024-02-04,82.94,16
45,21,economy,2024-02-17,2024-02-05,44.85,12
46,10,compact,2024-02-11,2024-02-06,52.56,5
47,11,compact,2024-02-14,2024-02-07,68.3,7
48,19,compact,2024-02-16,2024-02-07,54.05,9
49,8,suv,2024-02-18,2024-02-08,68.21,10
50,23,compact,2024-02-14,2024-02-10,89.3,4
51,9,suv,2024-03-04,2024-02-11,90.02,22
52,2,compact,2024-02-28,2024-02-11,46.48,17
53,23,luxury,2024-03-03,2024-02-16,102.36,16
54,21,compact,2024-02-21,2024-02-19,88.79,2
55,14,suv,2024-03-07,2024-02-19,86.04,17
56,7,compact,2024-02-29,2024-02-20,44.55,9
57,4,compact,2024-03-12,2024-02-20,59.95,21
58,4,luxury,2024-03-05,2024-02-20,126.02,14
59,17,suv,2024-02-22,2024-02-21,113.29,1
60,23,economy,2024-02-24,2024-02-21,47.04,3
61,10,suv,2024-03-15,2024-02-23,86.38,21
62,14,suv,2024-03-02,2024-02-26,84.5,5
63,18,economy,2024-03-09,2024-02-26,39.27,12
64,6,compact,2024-03-25,2024-02-27,56.56,27
65,3,economy,2024-03-27,2024-02-29,46.63,27
66,7,compact,2024-03-29,2024-02-29,53.04,29
67,10,suv,2024-03-15,2024-03-05,85.07,10
68,5,economy,2024-03-08,2024-03-06,80.33,2
69,18,luxury,2024-03-19,2024-03-06,151.57,13
70,5,economy,2024-03-14,2024-03-08,80.64,6
71,10,economy,2024-03-23,2024-03-09,35.22,14
72,22,compact,2024-03-13,2024-03-10,70.25,3
73,15,compact,2024-03-28,2024-03-10,60.78,18
74,20,economy,2024-03-16,2024-03-10,57.51,6
75,19,luxury,2024-03-29,2024-03-15,144.85,14
76,10,suv,2024-03-28,2024-03-15,88.48,13
77,12,suv,2024-04-01,2024-03-15,87.03,17
78,1,luxury,2024-03-22,2024-03-19,200.99,3
79,1,economy,2024-04-14,2024-03-19,48.23,26
80,20,suv,2024-04-03,2024-03-20,94.92,14
81,5,compact,2024-04-14,2024-03-20,63.42,25
82,22,compact,2024-03-25,2024-03-22,72.58,3
83,20,economy,2024-04-12,2024-03-22,46.96,21
84,22,suv,2024-03-29,2024-03-25,107.38,4
85,10,compact,2024-04-24,2024-03-25,58.15,30
86,16,suv,2024-04-03,2024-03-27,78.84,7
87,4,economy,2024-04-20,2024-03-28,45.54,23
88,19,economy,2024-04-13,2024-03-28,44.06,16
89,13,suv,2024-04-26,2024-03-29,99.11,28
90,4,compact,2024-04-16,2024-04-01,53.17,15
91,11,luxury,2024-04-17,2024-04-02,158.76,15
92,7,economy,2024-04-27,2024-04-04,46.93,23
93,22,luxury,2024-04-24,2024-04-04,134.97,20
94,22,compact,2024-05-01,2024-04-05,75.66,26
95,8,economy,2024-04-10,2024-04-07,59.05,3
96,6,suv,2024-04-20,2024-04-08,73.75,12
97,24,suv,2024-05-03,2024-04-08,90.66,25
98,5,economy,2024-04-24,2024-04-09,53.75,15
99,3,suv,2024-04-30,2024-04-10,86.83,20
100,10,luxury,2024-04-18,2024-04-12,188.09,6
101,6,luxury,2024-05-10,2024-04-12,167.69,28
102,11,economy,2024-05-21,2024-04-13,63.95,38
103,10,economy,2024-04-28,2024-04-15,38.92,13
104,23,compact,2024-04-20,2024-04-15,59.81,5
105,21,luxury,2024-04-27,2024-04-18,152.83,9
106,21,economy,2024-05-03,2024-04-18,69.97,15
107,18,compact,2024-05-16,2024-04-19,59.46,27
108,4,suv,2024-04-21,2024-04-19,104.54,2
109,7,suv,2024-04-23,2024-04-21,118.22,2
110,16,suv,2024-05-12,2024-04-22,93.46,20
111,3,suv,2024-05-13,2024-04-22,85.35,21
