comp_id,location_id,car_class,pickup_date,obs_date,comp_min_price,days_until_pickup
15622795,11,economy,2024-11-03,2024-11-10,107.45,18
15891873,6,luxury,2024-05-27,2024-07-14,76.89,21
5581593,2,luxury,2024-10-10,2024-09-19,145.56,17
8740028,20,compact,2024-08-14,2024-09-03,60.22,5
10981490,16,compact,2025-01-14,2024-12-23,136.28,17
16440492,14,economy,2024-03-07,2024-02-29,123.91,17
12564312,9,suv,2024-05-01,2024-03-06,118.45,5
10591896,19,economy,2024-07-11,2024-05-28,57.77,35
3939208,4,suv,2024-05-09,2024-04-10,98.94,14
1998014,9,compact,2024-03-13,2024-03-19,41.08,16
12789206,8,luxury,2024-09-09,2024-07-14,36.45,29
16288795,19,compact,2024-05-22,2024-04-28,55.43,6
7847268,23,compact,2024-03-19,2024-01-30,134.49,41
5408495,3,economy,2024-09-25,2024-08-16,108.07,14
9081097,14,suv,2024-02-26,2024-01-23,81.62,22
10617974,12,suv,2024-05-23,2024-06-29,91.41,29
15394507,18,compact,2024-06-04,2024-06-21,54.21,8
13208389,2,suv,2024-01-15,2024-01-04,68.86,12
13141330,16,compact,2024-08-18,2024-07-07,74.54,46
1555911,16,compact,2024-09-17,2024-08-01,38.26,9
4077895,15,compact,2024-06-29,2024-10-22,80.42,3
12792077,24,economy,2024-05-31,2024-06-03,170.22,5
15412119,15,luxury,2024-02-10,2024-02-02,39.02,16
6785471,8,economy,2024-12-04,2024-11-12,116.53,11
7550155,3,economy,2024-08-01,2024-07-24,73.91,4
5444197,17,suv,2024-09-27,2024-11-12,66.55,2
13892726,15,compact,2024-03-18,2024-01-28,172.02,34
12199777,15,economy,2024-02-22,2024-03-01,94.34,9
9554622,13,suv,2024-09-20,2024-08-30,83.49,23
2970394,9,compact,2024-01-14,2024-01-06,67.34,6
15332816,22,suv,2025-01-19,2024-12-30,92.04,4
3549248,19,economy,2024-09-16,2024-07-28,110.51,10
10886362,23,compact,2024-02-04,2024-01-10,78.45,9
15197661,9,economy,2024-01-21,2024-01-08,68.1,2
7141789,23,luxury,2024-12-28,2024-12-10,65.62,10
613480,9,compact,2024-01-21,2024-01-18,52.66,28
10328469,12,compact,2024-10-12,2024-08-31,76.86,20
1845198,10,luxury,2024-11-29,2024-11-22,44.1,4
7746108,7,economy,2024-05-13,2024-05-29,114.32,10
5697301,20,compact,2024-02-04,2024-01-14,140.87,2
